total reward, running mean
1.000000, 1.000000
3.000000, 1.020000
0.000000, 1.009800
1.000000, 1.009702
0.000000, 0.999605
1.000000, 0.999609
1.000000, 0.999613
1.000000, 0.999617
1.000000, 0.999621
1.000000, 0.999624
1.000000, 0.999628
1.000000, 0.999632
2.000000, 1.009635
1.000000, 1.009539
2.000000, 1.019444
3.000000, 1.039249
2.000000, 1.048857
1.000000, 1.048368
2.000000, 1.057885
1.000000, 1.057306
2.000000, 1.066733
1.000000, 1.066065
3.000000, 1.085405
2.000000, 1.094551
1.000000, 1.093605
2.000000, 1.102669
3.000000, 1.121642
3.000000, 1.140426
4.000000, 1.169022
3.000000, 1.187331
5.000000, 1.225458
3.000000, 1.243204
3.000000, 1.260772
2.000000, 1.268164
0.000000, 1.255482
7.000000, 1.312927
5.000000, 1.349798
6.000000, 1.396300
4.000000, 1.422337
6.000000, 1.468114
1.000000, 1.463433
8.000000, 1.528798
4.000000, 1.553510
6.000000, 1.597975
4.000000, 1.621995
6.000000, 1.665775
5.000000, 1.699118
3.000000, 1.712127
2.000000, 1.715005
4.000000, 1.737855
6.000000, 1.780477
6.000000, 1.822672
4.000000, 1.844445
2.000000, 1.846001
6.000000, 1.887541
6.000000, 1.928665
6.000000, 1.969379
8.000000, 2.029685
6.000000, 2.069388
6.000000, 2.108694
2.000000, 2.107607
8.000000, 2.166531
2.000000, 2.164866
2.000000, 2.163217
4.000000, 2.181585
11.000000, 2.269769
5.000000, 2.297071
3.000000, 2.304101
6.000000, 2.341060
10.000000, 2.417649
2.000000, 2.413473
6.000000, 2.449338
12.000000, 2.544845
11.000000, 2.629396
11.000000, 2.713102
15.000000, 2.835971
6.000000, 2.867611
10.000000, 2.938935
3.000000, 2.939546
13.000000, 3.040150
7.000000, 3.079749
0.000000, 3.048951
12.000000, 3.138462
8.000000, 3.187077
2.000000, 3.175207
15.000000, 3.293455
15.000000, 3.410520
14.000000, 3.516415
14.000000, 3.621251
7.000000, 3.655038
2.000000, 3.638488
10.000000, 3.702103
6.000000, 3.725082
10.000000, 3.787831
8.000000, 3.829953
6.000000, 3.851653
9.000000, 3.903137
12.000000, 3.984105
8.000000, 4.024264
2.000000, 4.004022
1.000000, 3.973981
18.000000, 4.114242
12.000000, 4.193099
1.000000, 4.161168
10.000000, 4.219556
6.000000, 4.237361
2.000000, 4.214987
20.000000, 4.372837
6.000000, 4.389109
14.000000, 4.485218
15.000000, 4.590366
14.000000, 4.684462
9.000000, 4.727617
0.000000, 4.680341
18.000000, 4.813538
20.000000, 4.965403
16.000000, 5.075749
10.000000, 5.124991
21.000000, 5.283741
22.000000, 5.450904
19.000000, 5.586395
15.000000, 5.680531
6.000000, 5.683725
24.000000, 5.866888
24.000000, 6.048219
9.000000, 6.077737
8.000000, 6.096960
21.000000, 6.245990
17.000000, 6.353530
13.000000, 6.419995
2.000000, 6.375795
29.000000, 6.602037
29.000000, 6.826017
17.000000, 6.927756
34.000000, 7.198479
21.000000, 7.336494
30.000000, 7.563129
0.000000, 7.487498
6.000000, 7.472623
33.000000, 7.727897
31.000000, 7.960618
32.000000, 8.201012
23.000000, 8.349001
38.000000, 8.645511
31.000000, 8.869056
31.000000, 9.090366
36.000000, 9.359462
20.000000, 9.465867
13.000000, 9.501209
12.000000, 9.526197
39.000000, 9.820935
39.000000, 10.112725
23.000000, 10.241598
39.000000, 10.529182
28.000000, 10.703890
18.000000, 10.776851
43.000000, 11.099083
41.000000, 11.398092
42.000000, 11.704111
40.000000, 11.987070
37.000000, 12.237199
39.000000, 12.504827
43.000000, 12.809779
28.000000, 12.961681
28.000000, 13.112064
42.000000, 13.400944
35.000000, 13.616934
42.000000, 13.900765
45.000000, 14.211757
44.000000, 14.509640
44.000000, 14.804543
29.000000, 14.946498
35.000000, 15.147033
45.000000, 15.445563
44.000000, 15.731107
17.000000, 15.743796
44.000000, 16.026358
46.000000, 16.326094
45.000000, 16.612833
45.000000, 16.896705
34.000000, 17.067738
46.000000, 17.357061
46.000000, 17.643490
47.000000, 17.937055
47.000000, 18.227685
46.000000, 18.505408
43.000000, 18.750354
8.000000, 18.642850
47.000000, 18.926422
47.000000, 19.207157
43.000000, 19.445086
46.000000, 19.710635
47.000000, 19.983529
46.000000, 20.243693
46.000000, 20.501256
46.000000, 20.756244
47.000000, 21.018681
24.000000, 21.048495
48.000000, 21.318010
21.000000, 21.314830
47.000000, 21.571681
41.000000, 21.765965
48.000000, 22.028305
48.000000, 22.288022
