total reward, running mean
0.000000, 0.000000
1.000000, 0.010000
1.000000, 0.019900
0.000000, 0.019701
1.000000, 0.029504
1.000000, 0.039209
0.000000, 0.038817
2.000000, 0.058429
1.000000, 0.067844
2.000000, 0.087166
2.000000, 0.106294
1.000000, 0.115231
0.000000, 0.114079
1.000000, 0.122938
2.000000, 0.141709
3.000000, 0.170292
2.000000, 0.188589
1.000000, 0.196703
3.000000, 0.224736
1.000000, 0.232489
1.000000, 0.240164
3.000000, 0.267762
2.000000, 0.285084
2.000000, 0.302234
0.000000, 0.299211
1.000000, 0.306219
3.000000, 0.333157
2.000000, 0.349825
2.000000, 0.366327
3.000000, 0.392664
3.000000, 0.418737
3.000000, 0.444550
1.000000, 0.450104
3.000000, 0.475603
3.000000, 0.500847
4.000000, 0.535839
3.000000, 0.560480
4.000000, 0.594876
3.000000, 0.618927
4.000000, 0.652738
6.000000, 0.706210
3.000000, 0.729148
4.000000, 0.761857
2.000000, 0.774238
4.000000, 0.806496
3.000000, 0.828431
5.000000, 0.870146
3.000000, 0.891445
6.000000, 0.942531
6.000000, 0.993105
4.000000, 1.023174
6.000000, 1.072942
2.000000, 1.082213
6.000000, 1.131391
8.000000, 1.200077
3.000000, 1.218076
6.000000, 1.265895
4.000000, 1.293236
9.000000, 1.370304
7.000000, 1.426601
6.000000, 1.472335
6.000000, 1.517612
7.000000, 1.572436
6.000000, 1.616711
8.000000, 1.680544
6.000000, 1.723739
6.000000, 1.766501
10.000000, 1.848836
6.000000, 1.890348
4.000000, 1.911444
6.000000, 1.952330
6.000000, 1.992807
10.000000, 2.072879
4.000000, 2.092150
10.000000, 2.171228
0.000000, 2.149516
7.000000, 2.198021
6.000000, 2.236041
4.000000, 2.253680
8.000000, 2.311143
6.000000, 2.348032
14.000000, 2.464552
6.000000, 2.499906
15.000000, 2.624907
15.000000, 2.748658
10.000000, 2.821171
18.000000, 2.972960
9.000000, 3.033230
6.000000, 3.062898
15.000000, 3.182269
2.000000, 3.170446
20.000000, 3.338742
18.000000, 3.485354
7.000000, 3.520501
13.000000, 3.615296
0.000000, 3.579143
14.000000, 3.683351
17.000000, 3.816518
3.000000, 3.808353
2.000000, 3.790269
23.000000, 3.982366
20.000000, 4.142543
10.000000, 4.201117
